packet_size,,,tcp_seq,tcp_size,tcp_ack,nvme_packet_type,nvme_packet_pdo,nvme_packet_plen,nvme_cid,nvme_opc,remain_data
92,0.0001068220000064457,1,594296606,24,793690716,5,0,24,4114,-1,-1
196,3.990000010389849e-07,0,3847802754,128,1329099816,0,0,128,-1,-1,-1
196,0.00013868700000330136,1,1329099816,128,3847802882,1,0,128,-1,-1,-1
196,2.1500000002561137e-07,0,3953252735,128,1487854018,0,0,128,-1,-1,-1
196,0.00012361199999588734,1,1487854018,128,3953252863,1,0,128,-1,-1,-1
196,2.1900000035657285e-07,0,2743246519,128,2319451548,0,0,128,-1,-1,-1
196,0.00012199100000032104,1,2319451548,128,2743246647,1,0,128,-1,-1,-1
196,2.069999993636884e-07,0,518254201,128,4155632561,0,0,128,-1,-1,-1
196,0.00012149799999860988,1,4155632561,128,518254329,1,0,128,-1,-1,-1
1164,2.0800000299914245e-07,0,3847802882,1096,1329099944,4,72,1096,-1,-1,-1
92,0.00018061100000466013,1,1329099944,24,3847803978,5,0,24,0,-1,-1
1164,0.0016281649999996262,0,3953252863,1096,1487854146,4,72,1096,-1,-1,-1
92,0.0001651780000031522,1,1487854146,24,3953253959,5,0,24,0,-1,-1
1164,0.0015505889999900546,0,2743246647,1096,2319451676,4,72,1096,-1,-1,-1
92,0.0001666710000023386,1,2319451676,24,2743247743,5,0,24,0,-1,-1
1164,0.0016853300000008176,0,518254329,1096,4155632689,4,72,1096,-1,-1,-1
92,0.00017471200000329645,1,4155632689,24,518255425,5,0,24,0,-1,-1
140,0.001621706999998196,0,793690716,72,594296630,4,0,72,6,9,-1
92,6.90170000012813e-05,1,594296630,24,793690788,5,0,24,6,-1,-1
140,0.0016515350000076978,0,793690788,72,594296654,4,0,72,31,12,-1
140,1.9999998812636477e-07,0,793690860,72,594296654,4,0,72,4115,6,-1
1316,2.375500000084685e-05,1,594299550,1248,793690932,7,24,4120,4115,-1,1
1316,0.0,1,594299550,1248,793690932,5,0,24,4115,-1,-1
212,3.420000069809248e-07,0,793690932,144,594300798,4,0,72,4116,6,1
212,0.0,0,793690932,144,594300798,4,0,72,7,6,-1
1516,3.771900000515416e-05,1,594303694,1448,793691076,7,24,4120,4116,-1,1
1516,0.0,1,594303694,1448,793691076,5,0,24,4116,-1,-1
1116,1.0004999992929697e-05,1,594308038,1048,793691076,7,24,4120,7,-1,1
1116,0.0,1,594308038,1048,793691076,5,0,24,7,-1,-1
140,0.0016516060000100197,0,793691076,72,594309086,4,0,72,4117,6,-1
1316,2.6999999988674972e-05,1,594311982,1248,793691148,7,24,4120,4117,-1,1
1316,0.0,1,594311982,1248,793691148,5,0,24,4117,-1,-1
140,0.001030779000004145,0,793691148,72,594309086,4,0,72,8210,6,-1
1316,2.4514999992675257e-05,1,594316126,1248,793691220,7,24,4120,8210,-1,1
1316,0.0,1,594316126,1248,793691220,5,0,24,8210,-1,-1
140,2.0199999539727287e-07,0,793691220,72,594313230,4,0,72,10,6,-1
1316,2.4418999998943036e-05,1,594320270,1248,793691292,7,24,4120,10,-1,1
1316,0.0,1,594320270,1248,793691292,5,0,24,10,-1,-1
